scenario,receiver,alpha,eta,nu,latency,dead_time,jitter_deg,trials,errors,ber,helstrom_bound
01_Ideal_Baseline,Dolinar,0.1,1.0,0.0,0.0,0.0,0.0,100000000,40100152,0.40100152,0.4009917164479698
01_Ideal_Baseline,Opt_Kennedy,0.1,1.0,0.0,0.0,0.0,0.0,100000000,41480671,0.41480671,0.4009917164479698
01_Ideal_Baseline,Dolinar,0.1708333333333333,1.0,0.0,0.0,0.0,0.0,100000000,33409329,0.33409329,0.334033117602116
01_Ideal_Baseline,Opt_Kennedy,0.1708333333333333,1.0,0.0,0.0,0.0,0.0,100000000,35618650,0.3561865,0.334033117602116
01_Ideal_Baseline,Dolinar,0.2416666666666666,1.0,0.0,0.0,0.0,0.0,100000000,27195846,0.27195846,0.2717838894607052
01_Ideal_Baseline,Opt_Kennedy,0.2416666666666666,1.0,0.0,0.0,0.0,0.0,100000000,30058588,0.30058588,0.2717838894607052
01_Ideal_Baseline,Dolinar,0.3125,1.0,0.0,0.0,0.0,0.0,100000000,21576189,0.21576189,0.2156735354217483
01_Ideal_Baseline,Opt_Kennedy,0.3125,1.0,0.0,0.0,0.0,0.0,100000000,24859933,0.24859933,0.2156735354217483
01_Ideal_Baseline,Dolinar,0.3833333333333333,1.0,0.0,0.0,0.0,0.0,100000000,16679413,0.16679413,0.1666685181642737
01_Ideal_Baseline,Opt_Kennedy,0.3833333333333333,1.0,0.0,0.0,0.0,0.0,100000000,20122487,0.20122487,0.1666685181642737
01_Ideal_Baseline,Dolinar,0.4541666666666666,1.0,0.0,0.0,0.0,0.0,100000000,12542193,0.12542193,0.1252349270996688
01_Ideal_Baseline,Opt_Kennedy,0.4541666666666666,1.0,0.0,0.0,0.0,0.0,100000000,15912291,0.15912291,0.1252349270996688
01_Ideal_Baseline,Dolinar,0.525,1.0,0.0,0.0,0.0,0.0,100000000,9152617,0.09152617,0.09135588385022
01_Ideal_Baseline,Opt_Kennedy,0.525,1.0,0.0,0.0,0.0,0.0,100000000,12251884,0.12251884,0.09135588385022
01_Ideal_Baseline,Dolinar,0.5958333333333333,1.0,0.0,0.0,0.0,0.0,100000000,6473164,0.06473164,0.0645970922766597
01_Ideal_Baseline,Opt_Kennedy,0.5958333333333333,1.0,0.0,0.0,0.0,0.0,100000000,9166913,0.09166913,0.0645970922766597
01_Ideal_Baseline,Dolinar,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,100000000,4429476,0.04429476,0.0442076447015774
01_Ideal_Baseline,Opt_Kennedy,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,100000000,6637885,0.06637885,0.0442076447015774
01_Ideal_Baseline,Dolinar,0.7374999999999999,1.0,0.0,0.0,0.0,0.0,100000000,2934384,0.02934384,0.0292392249664353
01_Ideal_Baseline,Opt_Kennedy,0.7374999999999999,1.0,0.0,0.0,0.0,0.0,100000000,4641424,0.04641424,0.0292392249664353
01_Ideal_Baseline,Dolinar,0.8083333333333332,1.0,0.0,0.0,0.0,0.0,100000000,1872386,0.01872386,0.0186657817140447
01_Ideal_Baseline,Opt_Kennedy,0.8083333333333332,1.0,0.0,0.0,0.0,0.0,100000000,3118711,0.03118711,0.0186657817140447
01_Ideal_Baseline,Dolinar,0.8791666666666667,1.0,0.0,0.0,0.0,0.0,100000000,1154235,0.01154235,0.0114877244351074
01_Ideal_Baseline,Opt_Kennedy,0.8791666666666667,1.0,0.0,0.0,0.0,0.0,100000000,2010795,0.02010795,0.0114877244351074
01_Ideal_Baseline,Dolinar,0.95,1.0,0.0,0.0,0.0,0.0,100000000,683770,0.0068377,0.0068093286735723
01_Ideal_Baseline,Opt_Kennedy,0.95,1.0,0.0,0.0,0.0,0.0,100000000,1237972,0.01237972,0.0068093286735723
01_Ideal_Baseline,Dolinar,1.0208333333333333,1.0,0.0,0.0,0.0,0.0,100000000,389956,0.00389956,0.0038843281395801
01_Ideal_Baseline,Opt_Kennedy,1.0208333333333333,1.0,0.0,0.0,0.0,0.0,100000000,728761,0.00728761,0.0038843281395801
01_Ideal_Baseline,Dolinar,1.0916666666666668,1.0,0.0,0.0,0.0,0.0,100000000,214216,0.00214216,0.002131124707823
01_Ideal_Baseline,Opt_Kennedy,1.0916666666666668,1.0,0.0,0.0,0.0,0.0,100000000,408265,0.00408265,0.002131124707823
01_Ideal_Baseline,Dolinar,1.1625,1.0,0.0,0.0,0.0,0.0,100000000,113224,0.00113224,0.001124075168671
01_Ideal_Baseline,Opt_Kennedy,1.1625,1.0,0.0,0.0,0.0,0.0,100000000,219151,0.00219151,0.001124075168671
01_Ideal_Baseline,Dolinar,1.2333333333333334,1.0,0.0,0.0,0.0,0.0,100000000,57355,0.00057355,0.0005698320948016
01_Ideal_Baseline,Opt_Kennedy,1.2333333333333334,1.0,0.0,0.0,0.0,0.0,100000000,111306,0.00111306,0.0005698320948016
01_Ideal_Baseline,Dolinar,1.3041666666666667,1.0,0.0,0.0,0.0,0.0,100000000,27775,0.00027775,0.0002775749626994
01_Ideal_Baseline,Opt_Kennedy,1.3041666666666667,1.0,0.0,0.0,0.0,0.0,100000000,54939,0.00054939,0.0002775749626994
01_Ideal_Baseline,Dolinar,1.375,1.0,0.0,0.0,0.0,0.0,100000000,12917,0.00012917,0.000129910547289
01_Ideal_Baseline,Opt_Kennedy,1.375,1.0,0.0,0.0,0.0,0.0,100000000,25918,0.00025918,0.000129910547289
01_Ideal_Baseline,Dolinar,1.4458333333333333,1.0,0.0,0.0,0.0,0.0,100000000,5813,5.813e-05,5.84130019065654e-05
01_Ideal_Baseline,Opt_Kennedy,1.4458333333333333,1.0,0.0,0.0,0.0,0.0,100000000,11668,0.00011668,5.84130019065654e-05
01_Ideal_Baseline,Dolinar,1.5166666666666666,1.0,0.0,0.0,0.0,0.0,100000000,2524,2.524e-05,2.5232436221322985e-05
01_Ideal_Baseline,Opt_Kennedy,1.5166666666666666,1.0,0.0,0.0,0.0,0.0,100000000,4996,4.996e-05,2.5232436221322985e-05
01_Ideal_Baseline,Dolinar,1.5875,1.0,0.0,0.0,0.0,0.0,100000000,1046,1.046e-05,1.0470917661709043e-05
01_Ideal_Baseline,Opt_Kennedy,1.5875,1.0,0.0,0.0,0.0,0.0,100000000,2100,2.1e-05,1.0470917661709043e-05
01_Ideal_Baseline,Dolinar,1.6583333333333334,1.0,0.0,0.0,0.0,0.0,100000000,362,3.62e-06,4.174282942914775e-06
01_Ideal_Baseline,Opt_Kennedy,1.6583333333333334,1.0,0.0,0.0,0.0,0.0,100000000,861,8.61e-06,4.174282942914775e-06
02_Phase_Jitter_2deg,Dolinar,0.1,1.0,0.0,0.0,0.0,2.0,100000000,40116827,0.40116827,0.4009917164479698
02_Phase_Jitter_2deg,Opt_Kennedy,0.1,1.0,0.0,0.0,0.0,2.0,100000000,41482895,0.41482895,0.4009917164479698
02_Phase_Jitter_2deg,Dolinar,0.1708333333333333,1.0,0.0,0.0,0.0,2.0,100000000,33423674,0.33423674,0.334033117602116
02_Phase_Jitter_2deg,Opt_Kennedy,0.1708333333333333,1.0,0.0,0.0,0.0,2.0,100000000,35637815,0.35637815,0.334033117602116
02_Phase_Jitter_2deg,Dolinar,0.2416666666666666,1.0,0.0,0.0,0.0,2.0,100000000,27220269,0.27220269,0.2717838894607052
02_Phase_Jitter_2deg,Opt_Kennedy,0.2416666666666666,1.0,0.0,0.0,0.0,2.0,100000000,30070772,0.30070772,0.2717838894607052
02_Phase_Jitter_2deg,Dolinar,0.3125,1.0,0.0,0.0,0.0,2.0,100000000,21595524,0.21595524,0.2156735354217483
02_Phase_Jitter_2deg,Opt_Kennedy,0.3125,1.0,0.0,0.0,0.0,2.0,100000000,24882318,0.24882318,0.2156735354217483
02_Phase_Jitter_2deg,Dolinar,0.3833333333333333,1.0,0.0,0.0,0.0,2.0,100000000,16705879,0.16705879,0.1666685181642737
02_Phase_Jitter_2deg,Opt_Kennedy,0.3833333333333333,1.0,0.0,0.0,0.0,2.0,100000000,20140261,0.20140261,0.1666685181642737
02_Phase_Jitter_2deg,Dolinar,0.4541666666666666,1.0,0.0,0.0,0.0,2.0,100000000,12571442,0.12571442,0.1252349270996688
02_Phase_Jitter_2deg,Opt_Kennedy,0.4541666666666666,1.0,0.0,0.0,0.0,2.0,100000000,15935634,0.15935634,0.1252349270996688
02_Phase_Jitter_2deg,Dolinar,0.525,1.0,0.0,0.0,0.0,2.0,100000000,9188394,0.09188394,0.09135588385022
